activity1,activity2,corr,communities,cluster1,cluster2
New people reached with GBV services  - GBV100,"# of PLWs who received micronutrients including iron, folate  for six months",0.279,36,Protection,Nutrition
hp_ben,Seasonal and supplementary NFIs,0.279,30,WASH,SNFI
1.1.1.1: Provision of core NFIs,1.9   Provide children with school water trucking,0.279,29,SNFI,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",cholera_safe_water,0.279,25,Nutrition,WASH
chlorin_cholera,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.279,24,WASH,Education
Cooked Meals,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.279,21,FSL,Education
pw_d_beneficiaries_toilet,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.279,21,WASH,Education
1.2.1.2: Installation of new/ replacement of existing tents,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.279,21,SNFI,Education
# of children 0-6 months EBF,Bread/Flour distribution,0.278,49,Nutrition,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),cholera_sew,0.278,46,Nutrition,WASH
Awareness raising through contact initiatives - GP2,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.278,36,Protection,Education
chlorin_cholera,Bread/Flour distribution,0.278,30,WASH,FSL
# of boys and girls (6 – 59 months) screened for malnutrition,o_m,0.277,77,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,hk_ben,0.277,76,Nutrition,WASH
# of pregnant and lactating women in NW Syria trained on family MUAC approach,chlorination,0.277,65,Nutrition,WASH
# of pregnant and lactating women in NW Syria trained on family MUAC approach,o_m,0.277,65,Nutrition,WASH
Risk education - MA1,# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,0.277,48,Protection,Nutrition
# of pregnant and lactating women in NW Syria trained on family MUAC approach,beneficiaries_toilets,0.277,48,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),cholera_hp_rcce_iec,0.277,42,Nutrition,WASH
Free Bread Distribution,1.02.1 Support the provision of formal education to children and youth,0.277,40,FSL,Education
beneficiaries_toilets,Bread/Flour distribution,0.277,38,WASH,FSL
# of PLWs with moderate acute malnutrition admitted for treatment,pw_d_beneficiaries_toilet,0.277,32,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,1.2.1.2: Installation of new/ replacement of existing tents,0.277,32,Nutrition,SNFI
# of children 6-59 months reached with HEB for 2 weeks,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.277,30,Nutrition,Education
Bread/Flour distribution,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.277,24,FSL,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,hp_ben,0.276,86,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,beneficiaries_toilets,0.276,56,Nutrition,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,beneficiaries_toilets,0.276,53,Nutrition,WASH
Risk education - MA1,"# of PLWs who received micronutrients including iron, folate  for six months",0.276,51,Protection,Nutrition
New people reached with GBV services  - GBV100,# of children 6-59 months reached with HEB for 2 weeks,0.276,29,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,pw_d_beneficiaries_toilet,0.276,29,Nutrition,WASH
Awareness raising through contact initiatives - GP2,chlorin_cholera,0.276,27,Protection,WASH
Awareness raising through contact initiatives - GP2,cholera_hp_rcce_iec,0.276,27,Protection,WASH
# of children 0-6 months EBF,Cooked Meals,0.276,27,Nutrition,FSL
New people reached with GBV services  - GBV100,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.276,25,Protection,Education
# of RRTs established and supported to provide CMAM and IYCF services.,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.276,25,Nutrition,Education
Number of PLW reached with MAM treatment,Seasonal and supplementary NFIs,0.276,21,Nutrition,SNFI
# of children 6-23 months reached with LNS for four month,1.02.1 Support the provision of formal education to children and youth,0.275,84,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,des_beneficiaries,0.275,57,Nutrition,WASH
Risk education - MA1,# PLWs screened for malnutrition,0.275,52,Protection,Nutrition
"# of PLWs who received micronutrients including iron, folate  for six months",cholera_sew,0.275,46,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",Seasonal and supplementary NFIs,0.275,41,Nutrition,SNFI
cholera_safe_water,Bread/Flour distribution,0.275,33,WASH,FSL
# of children 0-6 months EBF,2.05.7 Provide children with recreational materials in formal settings,0.275,33,Nutrition,Education
hp_ben,Cooked Meals,0.275,32,WASH,FSL
New people reached with GBV services  - GBV100,water_trucking,0.275,30,Protection,WASH
Emergency Food Rations (EFRs),1.02.1 Support the provision of formal education to children and youth,0.275,30,FSL,Education
hp_pwd_ben,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.275,28,WASH,Education
Number of PLW reached with MAM treatment,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.275,26,Nutrition,Education
water_trucking,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.275,26,WASH,Education
Case management and Referrals - GP5,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.275,26,Protection,Education
# of PLWs received HEB for 2 weeks,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.275,22,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),Ready to Eat Ration,0.274,91,Nutrition,FSL
swm_support_benf,Ready to Eat Ration,0.274,80,WASH,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),chlorination,0.274,74,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),o_m,0.274,74,Nutrition,WASH
hp_ben,Bread/Flour distribution,0.274,59,WASH,FSL
Risk education - MA1,# of boys and girls (6 – 59 months) screened for malnutrition,0.274,52,Protection,Nutrition
"# of PLWs who received micronutrients including iron, folate  for six months",cholera_hp_rcce_iec,0.274,42,Nutrition,WASH
swm_support_benf,Emergency Food Rations (EFRs),0.274,34,WASH,FSL
cholera_sew,Ready to Eat Ration,0.274,34,WASH,FSL
o_m,2.05.7 Provide children with recreational materials in formal settings,0.274,34,WASH,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.274,33,Nutrition,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,Seasonal and supplementary NFIs,0.274,30,Nutrition,SNFI
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",beneficiaries_toilets,0.274,28,Nutrition,WASH
pw_d_beneficiaries_toilet,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.274,23,WASH,Education
Case management and Referrals - GP5,pw_d_beneficiaries_toilet,0.274,21,Protection,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,o_m,0.273,72,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,wq_testing,0.273,63,Nutrition,WASH
Risk education - MA1,# of PLWs with moderate acute malnutrition admitted for treatment,0.273,44,Protection,Nutrition
Seasonal and supplementary NFIs,1.02.1 Support the provision of formal education to children and youth,0.273,32,SNFI,Education
# of children 6-59 months reached with HEB for 2 weeks,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.273,25,Nutrition,Education
# of children 6-59 months reached with HEB for 2 weeks,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.273,24,Nutrition,Education
# of mother to mother support groups established in line with the IYCF-E guidelines,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.273,22,Nutrition,Education
water_trucking,"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.273,21,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Free Bread Distribution,0.272,48,Nutrition,FSL
water_trucking,Seasonal and supplementary NFIs,0.272,34,WASH,SNFI
# of pregnant and lactating women in NW Syria trained on family MUAC approach,1.2.1.2: Installation of new/ replacement of existing tents,0.272,32,Nutrition,SNFI
o_m,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.272,25,WASH,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,Ready to Eat Ration,0.271,81,Nutrition,FSL
# PLWs screened for malnutrition,chlorination,0.271,76,Nutrition,WASH
Food Baskets,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.271,70,FSL,Education
Ready to Eat Ration,1.9   Provide children with school water trucking,0.271,66,FSL,Education
Risk education - MA1,hp_ben,0.271,36,Protection,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,pw_d_beneficiaries_toilet,0.271,35,Nutrition,WASH
Risk education - MA1,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.271,31,Protection,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.271,27,Nutrition,Education
des_beneficiaries,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.271,25,WASH,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,Multipurpose cash,0.27,110,Nutrition,Cash
Multipurpose cash,1.9   Provide children with school water trucking,0.27,91,Cash,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,swm_support_benf,0.27,78,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",beneficiaries_toilets,0.27,54,Nutrition,WASH
Risk education - MA1,Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),0.27,50,Protection,Nutrition
Number of PLW reached with MAM treatment,water_trucking,0.27,47,Nutrition,WASH
New people reached with GBV services  - GBV100,# PLWs screened for malnutrition,0.27,36,Protection,Nutrition
Risk education - MA1,Bread/Flour distribution,0.27,35,Protection,FSL
o_m,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.27,34,WASH,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.27,32,Nutrition,Education
# of PLWs received HEB for 2 weeks,1.02.1 Support the provision of formal education to children and youth,0.27,30,Nutrition,Education
Risk education - MA1,Number of PLW reached with MAM treatment,0.27,25,Protection,Nutrition
# of PLWs received HEB for 2 weeks,hk_ben,0.27,24,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,pwd_beneficiaries,0.27,24,Nutrition,WASH
# of mother to mother support groups established in line with the IYCF-E guidelines,1.9   Provide children with school water trucking,0.27,24,Nutrition,Education
Psychosocial support (PSS) - GP4,Animal treatment/vaccination,0.27,23,Protection,FSL
Ready to Eat Ration,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.27,23,FSL,Education
"# of PLWs who received micronutrients including iron, folate  for six months",o_m,0.269,74,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",hk_ben,0.269,73,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,chlorination,0.269,69,Nutrition,WASH
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",swm_support_benf,0.269,53,Nutrition,WASH
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,cholera_sew,0.269,41,Nutrition,WASH
# of pregnant and lactating women in NW Syria trained on family MUAC approach,cholera_sew,0.269,40,Nutrition,WASH
swm_support_benf,Cooked Meals,0.269,39,WASH,FSL
New people reached with GBV services  - GBV100,# of boys and girls (6 – 59 months) screened for malnutrition,0.269,36,Protection,Nutrition
1.2.1.2: Installation of new/ replacement of existing tents,Multipurpose cash,0.269,35,SNFI,Cash
wq_testing,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.269,28,WASH,Education
chlorination,1.9   Provide children with school water trucking,0.268,54,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",wq_testing,0.268,30,Protection,WASH
# of PLWs received HEB for 2 weeks,Bread/Flour distribution,0.268,27,Nutrition,FSL
Case management and Referrals - GP5,Seasonal and supplementary NFIs,0.268,23,Protection,SNFI
# of pregnant and lactating women in NW Syria trained on family MUAC approach,wq_testing,0.267,63,Nutrition,WASH
# PLWs screened for malnutrition,beneficiaries_toilets,0.267,55,Nutrition,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,cholera_safe_water,0.267,45,Nutrition,WASH
1.1.1.1: Provision of core NFIs,Multipurpose cash,0.267,36,SNFI,Cash
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.267,36,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.267,30,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.267,29,Nutrition,Education
cholera_sew,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.267,28,WASH,Education
swm_support_benf,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.267,26,WASH,Education
Number of PLW reached with MAM treatment,Free Bread Distribution,0.267,25,Nutrition,FSL
# of children 0-6 months EBF,Emergency Food Rations (EFRs),0.267,23,Nutrition,FSL
# PLWs screened for malnutrition,Ready to Eat Ration,0.266,93,Nutrition,FSL
Psychosocial support (PSS) - GP4,Food Baskets,0.266,66,Protection,FSL
Awareness raising through contact initiatives - GP2,des_beneficiaries,0.266,48,Protection,WASH
1.2.1.2: Installation of new/ replacement of existing tents,1.02.1 Support the provision of formal education to children and youth,0.266,28,SNFI,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.266,26,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Multipurpose cash,0.265,119,Nutrition,Cash
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),wq_testing,0.265,72,Nutrition,WASH
Ready to Eat Ration,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.265,58,FSL,Education
wq_testing,1.9   Provide children with school water trucking,0.265,53,WASH,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,beneficiaries_toilets,0.265,48,Nutrition,WASH
# PLWs screened for malnutrition,Seasonal and supplementary NFIs,0.265,41,Nutrition,SNFI
beneficiaries_toilets,Ready to Eat Ration,0.265,39,WASH,FSL
Awareness raising through contact initiatives - GP2,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.265,39,Protection,Education
# of caregivers with infants 0-6 months that are counselled on IYCF,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.265,37,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,Seasonal and supplementary NFIs,0.265,35,Nutrition,SNFI
# of PLWs with moderate acute malnutrition admitted for treatment,sew_rehab_repair,0.265,34,Nutrition,WASH
cholera_safe_water,Ready to Eat Ration,0.265,34,WASH,FSL
chlorination,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.265,28,WASH,Education
Psychosocial support (PSS) - GP4,2.05.7 Provide children with recreational materials in formal settings,0.265,25,Protection,Education
# of children 6-59 months reached with HEB for 2 weeks,1.13.2 Provide children with school bags in non-formal settings,0.265,24,Nutrition,Education
swm_support_benf,"1.07.4 classrooms (temporary learning spaces) constructed, established, rehabilitated or repaired in non-formal settings",0.265,23,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,Ready to Eat Ration,0.264,84,Nutrition,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),beneficiaries_toilets,0.264,53,Nutrition,WASH
# PLWs screened for malnutrition,cholera_sew,0.264,46,Nutrition,WASH
# PLWs screened for malnutrition,cholera_hp_rcce_iec,0.264,42,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,Seasonal and supplementary NFIs,0.264,41,Nutrition,SNFI
# of PLWs with moderate acute malnutrition admitted for treatment,cholera_safe_water,0.264,40,Nutrition,WASH
Awareness raising through contact initiatives - GP2,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.264,32,Protection,Education
des_beneficiaries,Seasonal and supplementary NFIs,0.264,27,WASH,SNFI
# of children 0-6 months EBF,chlorin_cholera,0.264,25,Nutrition,WASH
# PLWs screened for malnutrition,wq_testing,0.263,74,Nutrition,WASH
Multipurpose cash,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.263,62,Cash,Education
# of boys and girls (6 – 59 months) screened for malnutrition,cholera_sew,0.263,46,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,cholera_hp_rcce_iec,0.263,42,Nutrition,WASH
Seasonal and supplementary NFIs,Multipurpose cash,0.263,39,SNFI,Cash
# PLWs screened for malnutrition,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.263,33,Nutrition,Education
Psychosocial support (PSS) - GP4,o_m,0.263,32,Protection,WASH
"Community-based child protection, including psychosocial support and parenting programmes - CP2",chlorination,0.263,30,Protection,WASH
# of children 0-6 months EBF,cholera_sew,0.263,27,Nutrition,WASH
1.1.1.1: Provision of core NFIs,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.263,23,SNFI,Education
# of RRTs established and supported to provide CMAM and IYCF services.,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.263,22,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),Multipurpose cash,0.262,127,Nutrition,Cash
# of boys and girls (6 – 59 months) screened for malnutrition,chlorination,0.262,75,Nutrition,WASH
Food Baskets,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.262,71,FSL,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,chlorination,0.262,65,Nutrition,WASH
# of caregivers with infants 0-6 months that are counselled on IYCF,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.262,45,Nutrition,Education
cholera_hp_rcce_iec,Multipurpose cash,0.262,40,WASH,Cash
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,Seasonal and supplementary NFIs,0.262,36,Nutrition,SNFI
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),pw_d_beneficiaries_toilet,0.262,35,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),1.2.1.2: Installation of new/ replacement of existing tents,0.262,35,Nutrition,SNFI
# of caregivers with infants 0-6 months that are counselled on IYCF,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.262,35,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.262,33,Nutrition,Education
water_trucking,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.262,30,WASH,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.262,29,Nutrition,Education
Case management and Referrals - GP5,Animal treatment/vaccination,0.262,27,Protection,FSL
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.262,26,Nutrition,Education
swm_support_benf,2.05.4 Provide children with learning materials such as NGO developed and SLP materials etc. (excluding textbooks)in non-formal settings,0.262,24,WASH,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,o_m,0.261,68,Nutrition,WASH
# of pregnant and lactating women in NW Syria trained on family MUAC approach,cholera_hp_rcce_iec,0.261,36,Nutrition,WASH
Emergency Food Rations (EFRs),Multipurpose cash,0.261,36,FSL,Cash
pw_d_beneficiaries_toilet,Bread/Flour distribution,0.261,25,WASH,FSL
Legal services - GP6,# of children 0-6 months EBF,0.261,21,Protection,Nutrition
Bread/Flour distribution,1.13.2 Provide children with school bags in non-formal settings,0.261,21,FSL,Education
# of children 6-59 months reached with HEB for 2 weeks,Ready to Eat Ration,0.26,69,Nutrition,FSL
# of children 0-6 months EBF,Multipurpose cash,0.26,68,Nutrition,Cash
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,wq_testing,0.26,67,Nutrition,WASH
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.26,35,Nutrition,Education
Legal services - GP6,# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,0.26,27,Protection,Nutrition
# of caregivers with infants 0-6 months that are counselled on IYCF,Emergency Food Rations (EFRs),0.26,27,Nutrition,FSL
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.26,27,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,Ready to Eat Ration,0.259,77,Nutrition,FSL
# of PLWs with moderate acute malnutrition admitted for treatment,Ready to Eat Ration,0.259,76,Nutrition,FSL
Awareness raising through contact initiatives - GP2,1.9   Provide children with school water trucking,0.259,54,Protection,Education
Risk education - MA1,Multipurpose cash,0.259,48,Protection,Cash
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,cholera_safe_water,0.259,41,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",pw_d_beneficiaries_toilet,0.259,35,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",1.2.1.2: Installation of new/ replacement of existing tents,0.259,35,Nutrition,SNFI
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,1.2.1.2: Installation of new/ replacement of existing tents,0.259,34,Nutrition,SNFI
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,pw_d_beneficiaries_toilet,0.259,33,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,1.2.1.2: Installation of new/ replacement of existing tents,0.259,33,Nutrition,SNFI
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,"Mixed Food Items (MFIs, SFBs)",0.259,26,Nutrition,FSL
hk_ben,1.02.1 Support the provision of formal education to children and youth,0.258,54,WASH,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,2.05.7 Provide children with recreational materials in formal settings,0.258,47,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,Free Bread Distribution,0.258,43,Nutrition,FSL
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",hk_ben,0.258,35,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months","1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.258,32,Nutrition,Education
cholera_sew,Bread/Flour distribution,0.258,31,WASH,FSL
sew_rehab_repair,1.02.1 Support the provision of formal education to children and youth,0.258,30,WASH,Education
swm_support_benf,1.13.2 Provide children with school bags in non-formal settings,0.258,26,WASH,Education
# of PLWs with moderate acute malnutrition admitted for treatment,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.258,26,Nutrition,Education
Ready to Eat Ration,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.258,24,FSL,Education
# of PLWs with moderate acute malnutrition admitted for treatment,"2.01.2 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in non-formal settings",0.258,21,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,Ready to Eat Ration,0.257,92,Nutrition,FSL
